,Topic #1,Topic #2,Topic #3,Topic #4,Topic #5,Topic #6,Topic #7,Topic #8,Topic #9
0,great,loves,love,easy,tablet,product,kindle,echo,bought
1,works,old,kids,set,good,recommend,fire,alexa,gift
2,price,year,awesome,setup,price,would,books,show,one
3,kids,daughter,much,navigate,time,good,read,music,christmas
4,sound,grandson,everything,super,kids,anyone,reading,like,loved
5,apps,son,got,happy,nice,buy,like,home,wife
6,little,bought,grandkids,fast,games,definitely,better,amazon,happy
7,well,granddaughter,two,quite,children,friend,much,plus,purchased
8,value,absolutely,camera,read,perfect,family,size,smart,got
9,item,purchased,fun,things,amazon,friends,hd,screen,grandkids
10,reading,got,fire,well,play,highly,amazon,fun,absolutely
11,tablet,tablet,lights,light,apps,service,new,sound,gave
12,battery,nephew,new,item,size,really,one,enjoy,mother
13,device,games,play,children,need,satisfied,screen,really,second
14,lot,birthday,friendly,upgraded,download,awesome,best,things,family
15,speaker,perfect,alexa,son,choice,happy,perfect,lights,two
16,features,yr,item,fun,quality,top,games,video,gifts
17,work,durable,tablets,convenient,reading,price,second,better,present
18,deal,years,said,amazing,looking,excellent,light,house,best
19,addition,learning,parents,nice,well,recommended,original,control,mom
